date,team 1,team 2,Nima N,Ramin R,Shahriar N
June 14,Germany,Scotland,0,0,10
June 15,Hungary,Switzerland,10,0,0
June 19,Scotland,Switzerland,10,0,8
June 19,Germany,Hungary,5,0,0
June 23,Switzerland,Germany,0,0,8
June 23,Scotland,Hungary,5,0,10
